cve_id,vendor_project,product,vulnerability_name,short_description,required_action,date_added,due_date,known_ransomware_campaign_use,notes,cwes,search_keywords,vendor_risk_score,product_risk_score,description_severity_score,days_since_added,remediation_window_days,days_until_due,recency_score,urgency_score,cwe_count,has_critical_cwe,cwe_risk_score,avg_cwe_criticality,ransomware_confirmed,ransomware_unknown,overall_threat_score,threat_level,threat_binary,confidence_score
CVE-2025-49704,Microsoft,SharePoint,Microsoft SharePoint Code Injection Vulnerability,"Microsoft SharePoint contains a code injection vulnerability that could allow an authorized attacker to execute code over a network. This vulnerability could be chained with CVE-2025-49706. CVE-2025-53770 is a patch bypass for CVE-2025-49704, and the updates for CVE-2025-53770 include more robust protection than those for CVE-2025-49704.","Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.",2025-07-22,2025-07-23,Known,CISA Mitigation Instructions: https://www.cisa.gov/news-events/alerts/2025/07/20/microsoft-releases-guidance-exploitation-sharepoint-vulnerability-cve-2025-53770; https://www.microsoft.com/en-us/security/blog/2025/07/22/disrupting-active-exploitation-of-on-premises-sharepoint-vulnerabilities/ ; https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49704 ; https://nvd.nist.gov/vuln/detail/CVE-2025-49704,CWE-94,cve-2025-49704|microsoft|bypass|injection|vulnerability|sharepoint|CWE94|CVE202549704|code|cwe-94,0.9,0.9,0.4,81,1,-81,0.6,1.0,1,True,0.9,0.9,True,False,0.82,HIGH,1,1.0
CVE-2025-49706,Microsoft,SharePoint,Microsoft SharePoint Improper Authentication Vulnerability,"Microsoft SharePoint contains an improper authentication vulnerability that allows an authorized attacker to perform spoofing over a network. Successfully exploitation could allow an attacker to view sensitive information and make some changes to disclosed information. This vulnerability could be chained with CVE-2025-49704. CVE-2025-53771 is a patch bypass for CVE-2025-49706, and the updates for CVE-2025-53771 include more robust protection than those for CVE-2025-49706.","Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.",2025-07-22,2025-07-23,Known,CISA Mitigation Instructions: https://www.cisa.gov/news-events/alerts/2025/07/20/microsoft-releases-guidance-exploitation-sharepoint-vulnerability-cve-2025-53770 ; https://www.microsoft.com/en-us/security/blog/2025/07/22/disrupting-active-exploitation-of-on-premises-sharepoint-vulnerabilities/ ; https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49706 ; https://nvd.nist.gov/vuln/detail/CVE-2025-49706,CWE-287,CVE202549706|microsoft|cwe-287|bypass|CWE287|cve-2025-49706|vulnerability|sharepoint|authentication|improper,0.9,0.9,0.2,81,1,-81,0.6,1.0,1,True,0.9,0.9,True,False,0.79,HIGH,1,1.0
CVE-2025-53770,Microsoft,SharePoint,Microsoft SharePoint Deserialization of Untrusted Data Vulnerability,"Microsoft SharePoint Server on-premises contains a deserialization of untrusted data vulnerability that could allow an unauthorized attacker to execute code over a network. This vulnerability could be chained with CVE-2025-53771. CVE-2025-53770 is a patch bypass for CVE-2025-49704, and the updates for CVE-2025-53770 include more robust protection than those for CVE-2025-49704.","Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.",2025-07-20,2025-07-21,Known,CISA Mitigation Instructions: https://www.cisa.gov/news-events/alerts/2025/07/20/microsoft-releases-guidance-exploitation-sharepoint-vulnerability-cve-2025-53770; https://www.microsoft.com/en-us/security/blog/2025/07/22/disrupting-active-exploitation-of-on-premises-sharepoint-vulnerabilities/ ; https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53770 ; https://nvd.nist.gov/vuln/detail/CVE-2025-53770,CWE-502,cve-2025-53770|microsoft|deserialization|cwe-502|bypass|vulnerability|sharepoint|CVE202553770|untrusted|data|CWE502,0.9,0.9,0.2,83,1,-83,0.6,1.0,1,True,0.9,0.9,True,False,0.79,HIGH,1,1.0
CVE-2021-20016,SonicWall,SSLVPN SMA100,SonicWall SSLVPN SMA100 SQL Injection Vulnerability,SonicWall SSLVPN SMA100 contains a SQL injection vulnerability that allows remote exploitation for credential access by an unauthenticated attacker.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-20016,CWE-89,sql|sslvpn|sslvpnsma100|injection|vulnerability|cve-2021-20016|sonicwall|CWE89|sma100|cwe-89|sslvpn sma100|CVE202120016,0.9,0.7,0.5,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.78,HIGH,1,0.75
CVE-2023-3519,Citrix,NetScaler ADC and NetScaler Gateway,Citrix NetScaler ADC and NetScaler Gateway Code Injection Vulnerability,Citrix NetScaler ADC and NetScaler Gateway contains a code injection vulnerability that allows for unauthenticated remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-07-19,2023-08-09,Known,https://support.citrix.com/article/CTX561482/citrix-adc-and-citrix-gateway-security-bulletin-for-cve20233519-cve20233466-cve20233467;  https://nvd.nist.gov/vuln/detail/CVE-2023-3519,CWE-94,CVE20233519|netscaler|injection|vulnerability|gateway|CWE94|netscaler adc and netscaler gateway|code|cwe-94|netscaleradcandnetscalergateway|cve-2023-3519|citrix,0.9,0.7,0.8,815,21,-795,0.3,0.7,1,True,0.9,0.9,True,False,0.78,HIGH,1,0.75
CVE-2021-22986,F5,BIG-IP and BIG-IQ Centralized Management,F5 BIG-IP and BIG-IQ Centralized Management iControl REST Remote Code Execution Vulnerability,"F5 BIG-IP and BIG-IQ Centralized Management contain a remote code execution vulnerability in the iControl REST interface that allows unauthenticated attackers with network access to execute system commands, create or delete files, and disable services.",Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-22986,CWE-863,remote|cve-2021-22986|vulnerability|execution|management|f5|big-ipandbig-iqcentralizedmanagement|centralized|bigip and bigiq centralized management|rest|code|icontrol|CWE863|CVE202122986|big-ip and big-iq centralized management|cwe-863,0.9,0.3,0.6,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.775,HIGH,1,0.75
CVE-2021-42258,BQE,BillQuick Web Suite,BQE BillQuick Web Suite SQL Injection Vulnerability,"BQE BillQuick Web Suite contains an SQL injection vulnerability when accessing the username parameter that may allow for unauthenticated, remote code execution.",Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42258,CWE-89,sql|CVE202142258|billquick|bqe|suite|injection|vulnerability|cve-2021-42258|CWE89|billquickwebsuite|billquick web suite|cwe-89,0.3,0.3,0.8,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.775,HIGH,1,0.75
CVE-2023-46805,Ivanti,Connect Secure and Policy Secure,Ivanti Connect Secure and Policy Secure Authentication Bypass Vulnerability,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure) and Ivanti Policy Secure gateways contain an authentication bypass vulnerability in the web component that allows an attacker to access restricted resources by bypassing control checks. This vulnerability can be leveraged in conjunction with CVE-2024-21887, a command injection vulnerability.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-10,2024-01-22,Known,"Please apply mitigations per vendor instructions. For more information, please see: https://forums.ivanti.com/s/article/KB-CVE-2023-46805-Authentication-Bypass-CVE-2024-21887-Command-Injection-for-Ivanti-Connect-Secure-and-Ivanti-Policy-Secure-Gateways?language=en_US ;  https://nvd.nist.gov/vuln/detail/CVE-2023-46805",CWE-287,secure|connectsecureandpolicysecure|connect secure and policy secure|cve-2023-46805|cwe-287|connect|bypass|CVE202346805|policy|vulnerability|authentication|injection|CWE287|ivanti,0.3,0.3,0.7,640,12,-629,0.3,1.0,1,True,0.9,0.9,True,False,0.76,HIGH,1,0.75
CVE-2024-3400,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Command Injection Vulnerability,Palo Alto Networks PAN-OS GlobalProtect feature contains a command injection vulnerability that allows an unauthenticated attacker to execute commands with root privileges on the firewall.,"Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention IDs available from the vendor. See the vendor bulletin for more details and a patch release schedule.",2024-04-12,2024-04-19,Known,https://security.paloaltonetworks.com/CVE-2024-3400 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-3400,CWE-20|CWE-77,command|palo alto networks|panos|injection|networks|vulnerability|paloaltonetworks|pan-os|palo|cwe-20|alto|cve-2024-3400|CWE20|CVE20243400|CWE77|cwe-77,0.9,0.3,0.5,547,7,-541,0.3,1.0,2,True,0.9,0.9,True,False,0.76,HIGH,1,0.75
CVE-2021-34527,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability,Microsoft Windows Print Spooler contains an unspecified vulnerability due to the Windows Print Spooler service improperly performing privileged file operations. Successful exploitation allows an attacker to perform remote code execution with SYSTEM privileges. The vulnerability is also known under the moniker of PrintNightmare.,Apply updates per vendor instructions.,2021-11-03,2021-07-20,Known,Reference CISA's ED 21-04 (https://www.cisa.gov/news-events/directives/ed-21-04-mitigate-windows-print-spooler-service-vulnerability) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 21-04. https://nvd.nist.gov/vuln/detail/CVE-2021-34527,CWE-269,microsoft|spooler|remote|cve-2021-34527|vulnerability|execution|CVE202134527|CWE269|code|windows|cwe-269|print,0.9,0.9,0.3,1438,-106,-1545,0.3,1.0,1,True,0.9,0.9,True,False,0.76,HIGH,1,0.75
CVE-2021-26857,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution. This vulnerability is part of the ProxyLogon exploit chain.,Apply updates per vendor instructions.,2021-11-03,2021-04-16,Known,Reference CISA's ED 21-02 (https://www.cisa.gov/news-events/directives/ed-21-02-mitigate-microsoft-exchange-premises-product-vulnerabilities) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 21-02. https://nvd.nist.gov/vuln/detail/CVE-2021-26857,CWE-502,microsoft|remote|cwe-502|exchange server|server|vulnerability|exchangeserver|execution|cve-2021-26857|exchange|code|CVE202126857|CWE502,0.9,0.9,0.3,1438,-201,-1640,0.3,1.0,1,True,0.9,0.9,True,False,0.76,HIGH,1,0.75
CVE-2021-44228,Apache,Log4j2,Apache Log4j2 Remote Code Execution Vulnerability,"Apache Log4j2 contains a vulnerability where JNDI features do not protect against attacker-controlled JNDI-related endpoints, allowing for remote code execution.","For all affected software assets for which updates exist, the only acceptable remediation actions are: 1) Apply updates; OR 2) remove affected assets from agency networks. Temporary mitigations using one of the measures provided at https://www.cisa.gov/uscert/ed-22-02-apache-log4j-recommended-mitigation-measures are only acceptable until updates are available.",2021-12-10,2021-12-24,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-44228,CWE-20|CWE-400|CWE-502,CVE202144228|cwe-400|remote|cwe-502|vulnerability|execution|cwe-20|cve-2021-44228|code|CWE20|log4j2|CWE502|apache|CWE400,0.9,0.9,0.3,1401,14,-1388,0.3,1.0,3,True,0.9,0.7333333333333334,True,False,0.76,HIGH,1,0.75
CVE-2021-42321,Microsoft,Exchange,Microsoft Exchange Server Remote Code Execution Vulnerability,An authenticated attacker could leverage improper validation in cmdlet arguments within Microsoft Exchange and perform remote code execution.,Apply updates per vendor instructions.,2021-11-17,2021-12-01,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42321,CWE-184|CWE-502,CWE184|microsoft|remote|cve-2021-42321|cwe-502|server|vulnerability|execution|cwe-184|exchange|CVE202142321|code|CWE502,0.9,0.9,0.3,1424,14,-1411,0.3,1.0,2,True,0.9,0.65,True,False,0.76,HIGH,1,0.75
CVE-2021-34523,Microsoft,Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability,Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-34523,CWE-287,microsoft|cwe-287|escalation|CWE287|exchange server|server|vulnerability|exchangeserver|cve-2021-34523|CVE202134523|exchange|privilege,0.9,0.9,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.76,HIGH,1,0.75
CVE-2021-21985,VMware,vCenter Server,VMware vCenter Server Improper Input Validation Vulnerability,"VMware vSphere Client contains an improper input validation vulnerability in the Virtual SAN Health Check plug-in, which is enabled by default in vCenter Server, which allows for remote code execution.",Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-21985,CWE-20|CWE-470|CWE-918,CWE20|cwe-470|vmware|vcenter|validation|input|server|vulnerability|cwe-20|cwe-918|improper|CWE918|vcenter server|vcenterserver|CWE470|CVE202121985|cve-2021-21985,0.9,0.7,0.3,1438,14,-1425,0.3,1.0,3,True,0.9,0.5666666666666668,True,False,0.75,HIGH,1,0.75
